,Date,Close,Open,High,Low,Close,Volume
0,2013-10-18 21:00:00-03:00,143.5,155.25,143.25,152.98,13026.035,0.0
1,2013-10-19 21:00:00-03:00,152.7,178.5,151.5,166.5,20806.844,0.0
2,2013-10-20 21:00:00-03:00,168.0,168.875,162.31,166.89,3846.8337,0.0
3,2013-10-21 21:00:00-03:00,166.44,183.0,166.0,180.37,12557.04,0.0
4,2013-10-22 21:00:00-03:00,180.5,215.0,180.5,192.5,18023.271,0.0
5,2013-10-23 21:00:00-03:00,194.5,212.89,187.0,203.99,13826.837,0.0
6,2013-10-24 21:00:00-03:00,203.0,210.995,155.81,193.86,38544.22,0.0
7,2013-10-25 21:00:00-03:00,194.0,195.13,167.75,187.5,20006.543,0.0
8,2013-10-26 21:00:00-03:00,186.62,190.0,175.21,179.40646,6265.266,0.0
9,2013-10-27 21:00:00-03:00,179.56,198.75,179.1,197.9,6579.2197,0.0
10,2013-10-28 21:00:00-03:00,196.0,199.0,192.15,196.01,5298.407,0.0
11,2013-10-29 21:00:00-03:00,196.01,205.0,195.37,204.69,7419.721,0.0
12,2013-10-30 21:00:00-03:00,203.7,206.0,195.05,198.74,14200.715,0.0
13,2013-10-31 21:00:00-03:00,198.7,204.0,195.28,202.52,5283.749,0.0
14,2013-11-01 21:00:00-03:00,203.79,204.0,200.5,201.755,1946.5684,0.0
15,2013-11-02 21:00:00-03:00,202.24,262.0,201.33,204.94,4164.223,0.0
16,2013-11-03 21:00:00-03:00,204.67,219.89,203.0,213.8975,4756.6553,0.0
17,2013-11-04 21:00:00-03:00,213.949,230.5,211.0,226.505,11489.088,0.0
18,2013-11-05 21:00:00-03:00,227.98,250.75,225.44,242.88,23007.162,0.0
19,2013-11-06 21:00:00-03:00,242.6,265.0,240.6,263.24,27226.45,0.0
20,2013-11-07 21:00:00-03:00,263.5,297.79,262.0,291.0,34120.414,0.0
21,2013-11-08 21:00:00-03:00,290.8,334.95,288.89,333.9,22400.201,0.0
22,2013-11-09 21:00:00-03:00,333.9,386.0,297.0,338.2294,28967.807,0.0
23,2013-11-10 21:00:00-03:00,339.39,340.0,265.11,325.0,34961.68,0.0
24,2013-11-11 21:00:00-03:00,321.0,357.95,311.56,345.43,10191.313,0.0
25,2013-11-12 21:00:00-03:00,347.0,400.0,340.0,354.95,13165.031,0.0
26,2013-11-13 21:00:00-03:00,355.45,414.73,355.45,399.5,13062.187,0.0
27,2013-11-14 21:00:00-03:00,399.89,423.5,392.8,415.29,14244.316,0.0
28,2013-11-15 21:00:00-03:00,415.16,439.94,388.011,412.0,17296.14,0.0
29,2013-11-16 21:00:00-03:00,412.0,448.95,410.0,435.5,9517.353,0.0
30,2013-11-17 21:00:00-03:00,434.53,499.99,434.53,492.0,9940.77,0.0
31,2013-11-18 21:00:00-03:00,493.2,775.0,490.11,689.0,22843.691,0.0
32,2013-11-19 21:00:00-03:00,690.0,909.0,360.0,536.76,33901.754,0.0
33,2013-11-20 21:00:00-03:00,535.01,630.0,450.01,599.12,27906.662,0.0
34,2013-11-21 21:00:00-03:00,599.12,745.0,589.9,730.0,16945.242,0.0
35,2013-11-22 21:00:00-03:00,727.0301,839.77,682.32,806.3,12983.084,0.0
36,2013-11-23 21:00:00-03:00,815.0,886.8765,775.0,847.6667,9308.7295,0.0
37,2013-11-24 21:00:00-03:00,847.5,860.0,745.0,815.01,11937.723,0.0
38,2013-11-25 21:00:00-03:00,814.16,844.579,768.0,818.98,9224.68,0.0
39,2013-11-26 21:00:00-03:00,813.0,960.0,800.0,952.0,9793.398,0.0
40,2013-11-27 21:00:00-03:00,952.0,969.99,894.0,963.0,12895.775,0.0
41,2013-11-28 21:00:00-03:00,962.0,1050.34,945.0,1016.1,9448.811,0.0
42,2013-11-29 21:00:00-03:00,1015.79,1142.0,999.12,1132.0,8637.546,0.0
43,2013-11-30 21:00:00-03:00,1131.0,1171.25,1090.0,1119.52,4989.4395,0.0
44,2013-12-01 21:00:00-03:00,1119.8,1126.0,780.0,955.0,28296.814,0.0
45,2013-12-02 21:00:00-03:00,950.2601,1059.0,936.0,1037.07,11986.634,0.0
46,2013-12-03 21:00:00-03:00,1037.11,1089.88,1000.0,1055.0,5604.152,0.0
47,2013-12-04 21:00:00-03:00,1055.0,1175.0,1051.0,1138.5,5622.986,0.0
48,2013-12-05 21:00:00-03:00,1135.0,1141.0,848.42,1023.87,23509.828,0.0
49,2013-12-06 21:00:00-03:00,1029.02,1032.04,790.0,820.0,27798.145,0.0
50,2013-12-07 21:00:00-03:00,815.0,842.23,538.0,693.0,43527.5,0.0
51,2013-12-08 21:00:00-03:00,693.3,790.39,650.0,784.9,13322.027,0.0
52,2013-12-09 21:00:00-03:00,786.0,901.0,767.21,899.01,15554.903,0.0
53,2013-12-10 21:00:00-03:00,899.94,992.0,895.0,983.0,11594.141,0.0
54,2013-12-11 21:00:00-03:00,982.9697,990.0,804.26,879.3,15434.278,0.0
55,2013-12-12 21:00:00-03:00,879.4,893.97,838.0,873.0,8392.7705,0.0
56,2013-12-13 21:00:00-03:00,872.97,923.71,850.02,885.02,9471.328,0.0
57,2013-12-14 21:00:00-03:00,885.1,888.89703,840.0,850.78,4134.761,0.0
58,2013-12-15 21:00:00-03:00,854.98,871.8845,805.0,859.71,10233.321,0.0
59,2013-12-16 21:00:00-03:00,860.33,864.0,650.9088,690.0,27988.496,0.0
60,2013-12-17 21:00:00-03:00,690.0,751.0,613.0,675.0,24462.621,0.0
61,2013-12-18 21:00:00-03:00,675.0,679.03876,381.51,521.0,76970.586,0.0
62,2013-12-19 21:00:00-03:00,519.74,700.0,491.0,684.99,35739.094,0.0
63,2013-12-20 21:00:00-03:00,685.0,721.0,570.0,609.01,25368.63,0.0
64,2013-12-21 21:00:00-03:00,609.0,649.0,568.0,595.03,12438.733,0.0
