,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
62,33518493.0051,3470483788,status,1546287613,60714594,,Status,-0.73,-3.38,-13.42,4.68e-06,0.0174945619,63,SNT,6804870174
63,1282867.68473,133214575156,holo,1546287626,60699800,,Holo,-1.49,-6.2,-11.75,1.2e-07,0.0004556543,64,HOT,177619433541
64,5575049.15605,55618132,cryptonex,1546287616,60378441,210000000.0,Cryptonex,-2.63,-3.57,-9.07,0.00029029,1.0855891558,65,CNX,107066857
65,85865.1672863,90138154,kucoin-shares,1546287618,56232386,,KuCoin Shares,-0.74,-0.41,-8.7,0.00016682,0.6238466597,66,KCS,180138154
66,31774944.1755,50000200,huobi-token,1546287624,53946448,,Huobi Token,-0.34,-2.19,-10.98,0.0002885,1.0789246494,67,HT,500000000
67,26652.4930272,1678609241,buggyra-coin-zero,1546287636,53221526,,Buggyra Coin Zero,1.59,-3.25,7.97,8.48e-06,0.0317057266,68,BCZERO,10000000000
68,18295167.639,99998615,mobilego,1546287611,51534898,,MobileGo,-1.6,3.12,23.53,0.00013781,0.515356122,69,MGO,99998615
69,223957.184512,998999495,ardor,1546287609,51082697,998999495.0,Ardor,-1.65,-7.41,-10.92,1.367e-05,0.051133857,70,ARDR,998999495
70,1565328.89559,166523913,insight-chain,1546287635,50942699,,Insight Chain,0.22,-3.13,-6.39,8.18e-05,0.3059182224,71,INB,10000000000
71,1716346.48708,191542291,dex,1546287638,49248598,,DEX,0.14,-17.64,-32.79,6.875e-05,0.2571160558,72,DEX,1892996914
72,3606397.61605,56781166,pivx,1546287610,48814563,,PIVX,-2.36,-13.5,-3.54,0.00022988,0.8596963761,73,PIVX,56781166
73,1993422.61542,1050141509,decentraland,1546287615,48275975,,Decentraland,-1.47,-5.43,-18.73,1.229e-05,0.0459709236,74,MANA,2644403343
74,38741.935884,326822211298,dentacoin,1546287615,48227763,8000000000000.0,Dentacoin,2.35,0.61,-0.05,4e-08,0.0001475657,75,DCN,1963173416170
75,2717090.07696,560000011,nexo,1546287626,45606024,,Nexo,-0.71,-5.74,-4.69,2.178e-05,0.0814393272,76,NEXO,1000000000
76,2820861.89041,40369759,waltonchain,1546287616,45285498,100000000.0,Waltonchain,-2.12,-5.93,-13.9,0.00029996,1.1217678561,77,WTC,70000000
77,396342.39338,731250000,digitex-futures,1546287629,44646071,,Digitex Futures,-4.47,-7.2,-2.14,1.633e-05,0.0610544557,78,DGTX,1000000000
78,238487.17158,107385848,ark,1546287613,42126137,,Ark,-1.47,-5.14,-7.02,0.0001049,0.3922876062,79,ARK,138635848
79,775316.07315,220771136,odem,1546287625,41191908,,ODEM,-2.93,-8.89,-27.9,4.989e-05,0.1865819451,80,ODE,268946131
80,1043703.28268,64744025,monacoin,1546287606,40410950,,MonaCoin,-1.18,-4.24,-13.67,0.0001669,0.6241649292,81,MONA,64744025
81,436230.135348,350000000,qash,1546287619,40042959,,QASH,1.49,-4.5,-28.09,3.059e-05,0.1144084548,82,QASH,1000000000
82,1850601.81889,288427107,polymath-network,1546287623,40008728,,Polymath,-2.12,-6.05,-7.06,3.709e-05,0.1387134806,83,POLY,1000000000
83,56878.0948625,445523,mixin,1546287621,38845121,,Mixin,1.09,1.23,-5.01,0.02331457,87.1899403037,84,XIN,1000000
84,681142.816542,61906328,bancor,1546287613,38750227,,Bancor,-1.67,-3.5,-8.12,0.00016738,0.6259493646,85,BNT,75455942
85,681174.839539,3999999999,maximine-coin,1546287633,38300669,,Maximine Coin,-2.61,-2.35,-10.05,2.56e-06,0.0095751674,86,MXM,16000000000
86,1027997.54171,14332346,elastos,1546287624,38238953,,Elastos,-0.63,-2.39,-10.81,0.00071343,2.6680177699,87,ELA,33952706
87,14650390.4334,43529781,hypercash,1546287615,38091769,84000000.0,HyperCash,-1.26,0.98,-7.41,0.00023399,0.8750737588,88,HC,43529781
88,1377052.54351,265294161,aion,1546287617,38025943,,Aion,-1.29,-6.04,-20.99,3.833e-05,0.1433350167,89,AION,265294161
89,70552.4202154,62463334,moac,1546287622,36238419,,MOAC,0.15,7.57,16.96,0.00015513,0.5801550627,90,MOAC,151205864
90,43437.3519286,50000000,linkey,1546287636,35680013,,Linkey,-2.06,-4.94,-12.51,0.00019082,0.7136002601,91,LKY,195000000
91,861874.525924,106152493,wanchain,1546287625,35667641,,Wanchain,-2.17,-5.94,-19.2,8.985e-05,0.3360038003,92,WAN,210000000
92,2229591.74751,2149646,veritaseum,1546287613,35633471,,Veritaseum,3.49,-6.3,-17.25,0.00443253,16.5764333966,93,VERI,100000000
93,63635.0015125,28808713174,reddcoin,1546287604,35566023,,ReddCoin,-2.33,-6.47,-9.5,3.3e-07,0.0012345578,94,RDD,28808713174
94,428945.544512,2000000,digixdao,1546287610,35473176,,DigixDAO,-1.45,-10.61,-13.71,0.00474276,17.736588011,95,DGD,2000000
95,16899741.6333,15793831,crypto-com,1546287613,35317384,,Crypto.com,-1.88,-6.7,-10.83,0.00059795,2.2361505443,96,MCO,31587682
96,393830.483365,935838056,wax,1546287621,35207284,,WAX,0.03,-4.52,-10.91,1.006e-05,0.0376211289,97,WAX,1850000000
97,130166.264894,30979207,stasis-eurs,1546287631,34827790,,STASIS EURS,0.14,-3.6,-1.09,0.00030062,1.1242311772,98,EURS,30979207
98,537986.868252,6416397,zcoin,1546287612,34368872,21400000.0,Zcoin,-1.02,-7.8,-15.38,0.0014323,5.3564127473,99,XZC,21400000
99,651845.618987,708002689,theta,1546287621,33974883,,THETA,-1.68,-4.19,-12.16,1.283e-05,0.0479869409,100,THETA,1000000000
